Protein	Description	Gene	negtive	positive	gene_name
Q9Y394	Dehydrogenase/reductase SDR family member 7 	DHRS7	9100765.65625	12168729.5390625	DHRS7
Q9Y3E8	CGI-150 protein 		0	127670.3359375	GLOD4
Q9Y3F4	Serine-threonine kinase receptor-associated protein 	STRAP	20808766.25	9032419.6875	STRAP
Q9Y5B8	Nucleoside diphosphate kinase 7 	NME7	316566.21875	111722.671875	NME7
Q9Y5P6	Mannose-1-phosphate guanyltransferase beta 	GMPPB	2255912.125	0	GMPPB
Q9Y5Y5	Peroxisomal membrane protein PEX16 	PEX16	142429.890625	0	PEX16
Q9Y606	tRNA pseudouridine synthase A 	PUS1	9210269.46875	8553709.9375	PUS1
Q9Y6M7	Sodium bicarbonate cotransporter 3 	SLC4A7	0	0	SLC4A7
S4R369	39S ribosomal protein L37, mitochondrial 	MRPL37	181950.28125	247283.46875	MRPL37
U3KQ56	Glyoxylate reductase/hydroxypyruvate reductase 	GRHPR	2006537.21875	2728570.59375	GRHPR
V6A6E5	MHC class I antigen 	HLA-C	740493.375	1044810.625	HLA-C
V9HVY3	Protein disulfide-isomerase 	HEL-S-269	8294444.0859375	9332348.140625	HEL-S-269
V9HW22	Epididymis luminal protein 33 	HEL-S-72p	1677683.0859375	3070852	HEL-S-72p
V9HW31	ATP synthase subunit beta 	HEL-S-271	13034316.3515625	16657334.1875	HEL-S-271
V9HW88	Calreticulin, isoform CRA_b 	HEL-S-99n	0	729978.8125	HEL-S-99n
V9HW90	Glutathione reductase 	HEL-75	112623.9375	0	HEL-75
V9HW92	Epididymis secretory protein Li 112 	HEL-S-112	929815.90625	4045436.5625	HEL-S-112
V9HWB4	Epididymis secretory sperm binding protein Li 89n 	HEL-S-89n	3613735.140625	2785025.84375	HEL-S-89n
V9HWB5	Epididymis secretory sperm binding protein Li 66p 	HEL-S-66p	0	236168.796875	HEL-S-66p
V9HWF9	Epididymis luminal protein 20 	HEL20	5543840.484375	2665591.640625	HEL20
V9HWH0	Epididymis luminal protein 164 	HEL164	0	0	HEL164
V9HWP2	Epididymis luminal protein 35 	HEL-S-125m	1982490.4375	2211026.140625	HEL-S-125m
A0A024R056	Guanine nucleotide binding protein (G protein), beta polypeptide 1, isoform CRA_a 	GNB1	939043.53125	8612518.015625	A0A024R056
A0A024R4A0	Nucleolin, isoform CRA_b 	NCL	674470.625	184827.28125	A0A024R4A0
A0A024RDF3	Heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa), isoform CRA_d 	HNRPD	20538660.34375	13528126.8125	A0A024RDF3
A0A140VJF4	Biliverdin reductase A 		21449087.34375	8833299.84375	A0A140VJF4
A0A140VJL0	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial 		224999.015625	7201622.34375	A0A140VJL0
A0A140VK00	Testicular tissue protein Li 227 		1804741.515625	617078.5	A0A140VK00
A0A1B0GU03	Uncharacterized protein 		156409.140625	0	A0A1B0GU03
A0A1U9X836	NEU1 		3464886.625	0	A0A1U9X836
A0A384MDY8	Epididymis secretory sperm binding protein 		1315808.6171875	0	A0A384MDY8
A0A384MEE7	Epididymis secretory sperm binding protein 		449459.859375	1572399.9453125	A0A384MEE7
A0A384NPW1	Epididymis secretory sperm binding protein 		25001669.03125	22746095.640625	A0A384NPW1
A6XND5	Ribonuclease T2 		164435.546875	0	A6XND5
A8K097	cDNA FLJ78373, highly similar to Homo sapiens PCI domain containing 2, mRNA 		108922.05078125	0	A8K097
A8K0B9	rRNA adenine N(6)-methyltransferase 		7376234.15625	1865244.234375	A8K0B9
A8K0R1	cDNA FLJ78532, highly similar to Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 2 (DNAJB2), mRNA 		85940.921875	0	A8K0R1
A8K1E9	cDNA FLJ78497 		437841.328125	3250478.75	A8K1E9
A8K259	cDNA FLJ78501, highly similar to Homo sapiens serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) (SERPINH1), mRNA 		289793.390625	908716.4375	A8K259
A8K2H4	cDNA FLJ78235 		2910905.90625	5119887.5	A8K2H4
A8K2I7	cDNA FLJ76072, highly similar to Homo sapiens GIPC PDZ domain containing family, member 1 (GIPC1), transcript variant 1, mRNA 		4274935.09375	1165330.90625	A8K2I7
A8K335	Folate gamma-glutamyl hydrolase 		10887453.84375	20091852.09375	A8K335
A8K3Z5	Nucleoporin NUP53 		940489.546875	181849.859375	A8K3Z5
A8K4M4	cDNA FLJ75329, highly similar to Homo sapiens LAG1 longevity assurance homolog 2 (S. cerevisiae), transcript variant 2, mRNA 		349961.125	2900900.546875	A8K4M4
A8K4Z4	60S acidic ribosomal protein P0 		81377015.25	73306361.859375	A8K4Z4
A8K5C4	cDNA FLJ76290, highly similar to Homo sapiens TIA1 cytotoxic granule-associated RNA bindingprotein-like 1 (TIAL1), transcript variant 1, mRNA 		7283874.5	8386713.03125	A8K5C4
A8K5S3	cDNA FLJ78449 		819884.984375	0	A8K5S3
A8K5T7	cDNA FLJ75365, highly similar to Homo sapiens SUGT1B (SUGT1) mRNA 		1260178.0625	0	A8K5T7
A8K669	cDNA FLJ78452, highly similar to Homo sapiens legumain (LGMN), transcript variant 2, mRNA 		1161154.875	794593.3125	A8K669
A8K690	cDNA FLJ76863, highly similar to Homo sapiens stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein) (STIP1), mRNA 		154388.390625	0	A8K690
A8K6A7	Alpha-mannosidase 		444040.46875	1170495.84375	A8K6A7
A8K6Q8	cDNA FLJ75881, highly similar to Homo sapiens transferrin receptor (p90, CD71) (TFRC), mRNA 		898656.1171875	1384038.53125	A8K6Q8
A8K7F6	cDNA FLJ78244, highly similar to Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA 		351345.5859375	0	A8K7F6
A8K7U3	Methyltransferase-like protein 		505537.9375	0	A8K7U3
A8K865	cDNA FLJ75789, highly similar to Homo sapiens synaptophysin-like 1 (SYPL1), transcript variant 1, mRNA 		1163502.625	2913380.1875	A8K865
A8K9A4	cDNA FLJ75154, highly similar to Homo sapiens heterogeneous nuclear ribonucleoprotein C (C1/C2), mRNA 		2447655.828125	261847.515625	A8K9A4
A8K9U0	cDNA FLJ78260, highly similar to Homo sapiens RNA binding motif protein 4, mRNA 		406939.7109375	3592617.8984375	A8K9U0
B2R665	cDNA, FLJ92810, highly similar to Homo sapiens protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform (PPM1G), mRNA 		195743.671875	0	B2R665
B2R6A3	Na(+)/H(+) exchange regulatory cofactor NHE-RF 		246733.9375	152202.953125	B2R6A3
B2R6F5	Protein XRP2 		315443.28125	483420.15625	B2R6F5
B2R6S9	cDNA, FLJ93097, highly similar to Homo sapiens low density lipoprotein receptor-related protein associated protein 1 (LRPAP1), mRNA 		12906969.75	14633754.625	B2R6S9
B2R7B1	cDNA, FLJ93361, highly similar to Homo sapiens membrane interacting protein of RGS16 (MIR16), mRNA 		916884.984375	358440.25	B2R7B1
B2R7R5	cDNA, FLJ93570, highly similar to Homo sapiens phosphoribosyl pyrophosphate synthetase-associated protein 2 (PRPSAP2), mRNA 		1399240.765625	1206814.15625	B2R7R5
B2R960	cDNA, FLJ94230, highly similar to Homo sapiens thioredoxin-like 1 (TXNL1), mRNA 		3161899.90625	6179243.0625	B2R960
B2R9D9	cDNA, FLJ94347 		780754.390625	0	B2R9D9
B2R9L6	cDNA, FLJ94450, highly similar to Homo sapiens cyclin-dependent kinase 9 (CDC2-related kinase) (CDK9), mRNA 		2795809.75	2790037.7265625	B2R9L6
B2R9S4	cDNA, FLJ94534, highly similar to Homo sapiens capping protein (actin filament), gelsolin-like(CAPG), mRNA 		11920276.25	4902340.5625	B2R9S4
B2R9X3	cDNA, FLJ94599, highly similar to Homo sapiens GDP-mannose 4,6-dehydratase (GMDS), mRNA 		6831323.546875	3597933.109375	B2R9X3
B2RA03	cDNA, FLJ94640, highly similar to Homo sapiens keratin 18 (KRT18), mRNA 		1035318.375	0	B2RA03
B2RBR9	cDNA, FLJ95650, highly similar to Homo sapiens karyopherin (importin) beta 1 (KPNB1), mRNA 		390470.5625	0	B2RBR9
B2RD27	cDNA, FLJ96428, highly similar to Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog) (PSMD7), mRNA 		18331766.9375	11113862.59375	B2RD27
B2RDF5	cDNA, FLJ96587, highly similar to Homo sapiens SUMO-1 activating enzyme subunit 2 (UBA2), mRNA 		131681.90625	0	B2RDF5
B2RDN9	cDNA, FLJ96699, highly similar to Homo sapiens thyroid autoantigen 70kDa (Ku antigen) (G22P1), mRNA 		899033.73046875	450752.796875	B2RDN9
B2RDR4	cDNA, FLJ96732, highly similar to Homo sapiens testis derived transcript (3 LIM domains) (TES), transcript variant 1, mRNA 		6557949.96875	689735.34375	B2RDR4
B2RDZ9	cDNA, FLJ96850 		310584.46875	756077.328125	B2RDZ9
B3KMB6	cDNA FLJ10642 fis, clone NT2RP2005752, highly similar to Tumor necrosis factor receptor superfamily member 21 		122267.359375	0	B3KMB6
B3KN09	cDNA FLJ13173 fis, clone NT2RP3003831, highly similar to Endonuclease G-like 1 		241723.375	0	B3KN09
B3KNA0	cDNA FLJ14013 fis, clone Y79AA1002487, highly similar to F-box only protein 4 		442563.46875	0	B3KNA0
B3KR97	cDNA FLJ33900 fis, clone CTONG2008262, highly similar to Low density lipoprotein receptor adapter protein 1 		124738.9375	0	B3KR97
B3KSL5	cDNA FLJ36545 fis, clone TRACH2006670, highly similar to RNA-binding protein Luc7-like 2 		1532810.78125	0	B3KSL5
B3KTA5	cDNA FLJ37943 fis, clone CTONG2008621, highly similar to Syntaxin-17 		234807.609375	411119.5625	B3KTA5
B3KTT0	cDNA FLJ38675 fis, clone IMR322000243, highly similar to Nucleoporin Nup43 		96772.4609375	0	B3KTT0
B3KUT2	cDNA FLJ40562 fis, clone THYMU2003981, moderately similar to Rattus norvegicus macrophage expressed gene 1 (Mpeg1), mRNA 		485562.71875	0	B3KUT2
B3KXN9	cDNA FLJ45793 fis, clone NT2RI2009233 		115138.1796875	0	B3KXN9
B4DEA8	cDNA FLJ56425, highly similar to Very-long-chain specific acyl-CoAdehydrogenase, mitochondrial 		128549.6640625	0	B4DEA8
B4DHQ3	Phosphoserine aminotransferase 		53455941.390625	22996629.875	B4DHQ3
B4DI08	cDNA FLJ60091, highly similar to Hypoxia-inducible factor 1 alpha inhibitor 		2714589.3828125	0	B4DI08
B4DLC0	cDNA FLJ58476, highly similar to Poly(rC)-binding protein 2 		3841049.625	3116481.0078125	B4DLC0
B4DN31	cDNA FLJ55809 		1286751.765625	0	B4DN31
B4DPP6	cDNA FLJ54371, highly similar to Serum albumin 		38867456.375	44412717.5	B4DPP6
B4DRE5	cDNA FLJ55391 		123605.5703125	0	B4DRE5
B4DT31	cDNA FLJ53425, highly similar to Far upstream element-binding protein 1 		399014.375	0	B4DT31
B4DWA7	Serine hydroxymethyltransferase 		1347507.59375	1935955.703125	B4DWA7
B4E0Z6	cDNA FLJ59809, highly similar to Bone marrow stromal antigen 2 		201478.65625	211102.015625	B4E0Z6
B4E171	Tetraspanin 		125561.5078125	215049.4375	B4E171
B4E2L0	cDNA FLJ54730, highly similar to cAMP-dependent protein kinase, beta-2-catalytic subunit 		3436728.828125	0	B4E2L0
B4E3G8	cDNA FLJ61576, highly similar to Mitochondrial fission regulator 1 		214176.25	0	B4E3G8
B7Z3K9	Fructose-bisphosphate aldolase 		14195845.5625	5053678.984375	B7Z3K9
B7Z5W1	cDNA FLJ54854, highly similar to Junctional adhesion molecule A 		9667643.21875	6544345.53125	B7Z5W1
B7Z6D1	cDNA FLJ57430, highly similar to DNA-directed RNA polymerase II 33 kDa polypeptide 		286103.1875	0	B7Z6D1
B7Z6L9	V-type proton ATPase subunit 		3696632.5	7692996.390625	B7Z6L9
B7Z8Q2	cDNA FLJ55606, highly similar to Alpha-2-HS-glycoprotein 		734376.96875	249376.109375	B7Z8Q2
D3DR65	SPFH domain family, member 1, isoform CRA_a 	SPFH1	30616220.75	23707961.125	D3DR65
D7RXV9	DING protein p38 		0	190089.671875	D7RXV9
E5KN59	Peptidyl-prolyl cis-trans isomerase D 		7401387.921875	3303043.65625	E5KN59
G8I2S8	Uncharacterized protein 		399008.75	0	G8I2S8
Q13344	Fus-like protein (Fragment) 		947411.84375	0	Q13344
Q53F64	Heterogeneous nuclear ribonucleoprotein AB isoform a variant (Fragment) 		197346.234375	0	Q53F64
Q53FE8	cDNA FLJ36526 fis, clone TRACH2003347, highly similar to NSFL1 cofactor p47 (Fragment) 		1472791.109375	0	Q53FE8
Q53G47	LUC7-like isoform b variant (Fragment) 		299873.625	0	Q53G47
Q53G85	Elongation factor 1-alpha (Fragment) 		13185583.796875	0	Q53G85
Q53GE7	Tetratricopeptide repeat domain 1 variant (Fragment) 		1810588.90625	281856	Q53GE7
Q53GI2	Testis expressed sequence 264 variant (Fragment) 		9542374.875	8832093.828125	Q53GI2
Q53HB3	Proteasome 26S ATPase subunit 1 variant (Fragment) 		239864.5625	0	Q53HB3
Q53HU7	Eukaryotic translation initiation factor 3 subunit I (Fragment) 		2533465.0625	10754945.96875	Q53HU7
Q59EI9	ADP,ATP carrier protein, liver isoform T2 variant (Fragment) 		119494.1875	182830.96875	Q59EI9
Q59EJ3	Heat shock 70kDa protein 1A variant (Fragment) 		743153.21875	0	Q59EJ3
Q59EK7	CS0DF038YO05 variant (Fragment) 		177357.546875	0	Q59EK7
Q59FU8	Tumor necrosis factor receptor superfamily, member 6 isoform 1 variant (Fragment) 		3446536.6875	0	Q59FU8
Q59G13	Syntaxin 16 isoform a variant (Fragment) 		893392.3125	1031224.625	Q59G13
Q59G98	TIA1 protein variant (Fragment) 		601638.75	520698.375	Q59G98
Q59GW5	Tripartite motif-containing 25 variant (Fragment) 		240493.546875	0	Q59GW5
Q59GX2	Solute carrier family 2 (Facilitated glucose transporter), member 1 variant (Fragment) 		203594.4921875	766141.609375	Q59GX2
Q59GX7	Stearoyl-CoA desaturase variant (Fragment) 		431942.84375	270626.71875	Q59GX7
Q59GX9	Ribosomal protein L5 variant (Fragment) 		5436944.3125	0	Q59GX9
Q59GY2	Ribosomal protein L4 variant (Fragment) 		515550.578125	0	Q59GY2
Q5U043	S-(hydroxymethyl)glutathione dehydrogenase 		3938671.8125	1556725.90625	Q5U043
Q86UA3	Chromosome 12 open reading frame 10 	C12orf10	937683.375	3173298	Q86UA3
Q96DP0	cDNA FLJ31479 fis, clone NT2NE2001634, moderately similar to NADH-UBIQUINONE OXIDOREDUCTASE 9 KD SUBUNIT 		109798.6796875	0	Q96DP0
Q96KB3	cDNA FLJ14389 fis, clone HEMBA1002876 		1309048.0625	700127.671875	Q96KB3
Q9HBB3	60S ribosomal protein L6 		3265163.515625	4426505.71875	Q9HBB3
Q9HC03	Dolichyl-phosphate beta-glucosyltransferase 		550521.703125	2566165.8125	Q9HC03
Q9Y6E3	HSPC027 		1406419.375	0	Q9Y6E3
